Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAGLOBAL,EQ,3-Jan-11,108.1,109,112,108.15,111.6,111.5,110.44,1381804,152608555.3,-,673781,48.76
TATAGLOBAL,EQ,4-Jan-11,111.5,111.9,114.2,111.6,113.05,113.1,113.22,1649997,186814503.1,-,694307,42.08
TATAGLOBAL,EQ,5-Jan-11,113.1,113.25,113.9,111.2,112.6,112.3,112.67,712670,80293773.6,-,420405,58.99
TATAGLOBAL,EQ,6-Jan-11,112.3,112.9,113.4,110.1,111.15,111,111.48,801491,89349870.5,-,345343,43.09
TATAGLOBAL,EQ,7-Jan-11,111,112.1,113,107.1,107.75,108.3,109.65,1343822,147355187.2,-,574676,42.76
TATAGLOBAL,EQ,10-Jan-11,108.3,108.7,108.7,103.6,103.9,104.25,105.9,1005103,106443307.9,-,519361,51.67
TATAGLOBAL,EQ,11-Jan-11,104.25,104.55,105.9,101.05,102.1,101.9,103.07,979117,100917764.4,-,509504,52.04
TATAGLOBAL,EQ,12-Jan-11,101.9,102.7,104.2,101,104,103.75,102.53,438502,44961454.95,-,155765,35.52
TATAGLOBAL,EQ,13-Jan-11,103.75,103.8,104.5,102.7,103.75,103.25,103.42,409758,42376695.15,-,212249,51.8
TATAGLOBAL,EQ,14-Jan-11,103.25,105.1,109.7,102.8,104.35,104.4,106.7,1914263,204254396.4,-,450822,23.55
TATAGLOBAL,EQ,17-Jan-11,104.4,105.3,108.25,102.65,104.7,104.9,105.87,2529271,267765127.3,-,634918,25.1
TATAGLOBAL,EQ,18-Jan-11,104.9,105.8,106.9,104.2,104.4,104.75,105.25,384406,40457763.2,-,121891,31.71
TATAGLOBAL,EQ,19-Jan-11,104.75,105.05,106.9,104.1,104.8,104.95,105.42,677140,71386330.75,-,155365,22.94
TATAGLOBAL,EQ,20-Jan-11,104.95,105.1,109.1,104.2,106.75,106.5,106.99,1009083,107962394.3,-,244465,24.23
TATAGLOBAL,EQ,21-Jan-11,106.5,106,107.45,105.15,105.7,105.65,106.03,522747,55428229.55,-,280476,53.65
TATAGLOBAL,EQ,24-Jan-11,105.65,104.6,106.75,104.6,106.7,106.25,106.19,259338,27538618.55,-,113968,43.95
TATAGLOBAL,EQ,25-Jan-11,106.25,107,107.4,106.05,106.2,106.2,106.55,631517,67287954.8,-,387748,61.4
TATAGLOBAL,EQ,27-Jan-11,106.2,106.2,108.2,105.2,106,106.35,106.89,1791689,191509065.9,-,914789,51.06
TATAGLOBAL,EQ,28-Jan-11,106.35,106,106.8,98.25,100,99.8,100.57,2063094,207479987.2,-,1097534,53.2
